MESSAGE_ID,THEMES,TOPICS
620,Transportation,"['Contact information', 'Drivers', 'Chernivtsi', 'Ternopil', 'Border']"
621,Interrogative sentence,Origin and destination
622,Transportation and payment,"['Request for transportation', 'Specific location']"
625,Transportation,"['Free driver', 'Krakovets border', 'Krakow', 'Car', ""Grandma's inability to travel""]"
640,Uncertain situation at Lviv railway station,Current events at Lviv railway station
641,uncertainty,[]
666,Transportation,"['Transportation of people', 'Travel arrangements']"
668,Content Assessment: Social Media,Facebook post
672,Evacuation and overcrowding,Evacuation flights from Odessa train station to Lviv
673,Restrictions and regulations,Curfew
678,Hospitality and assistance,"['Welcoming guests', 'Providing basic needs', 'Transportation services']"
679,Accommodation inquiry,"['Travel', 'Accommodation', 'Crossing borders']"
687,logistics and transportation,"['bus arrangement', 'crossing time', 'number of people', 'city of Wroclaw', 'relatives at the border']"
688,Technical Issue,Unable to Access External Content
694,Emergency humanitarian situation,lack of water and food
697,Humanitarian Assistance in Poland,"['Helping volunteers', 'Evacuating people', 'Contact information']"
700,uncertainty,"['lists', 'organizations']"
704,Transportation,"['Transport chat', 'Hungary', 'Romania']"
709,Immigration and relocation services,"['Clock map / permanent residence based on work', 'Extensive work experience', 'Personal and remote support', 'Company/Entrepreneurship registration', 'Accounting support', 'Relocation of the whole family', 'Search for suitable housing', 'Registration for the Polish Card examination', ""Replacement of Russian/Ukrainian/Belarusian driver's licenses with Polish ones"", 'Preparation of documentation']"
710,Transportation assistance,"['Women', 'Children', 'Pickup', 'Zamosc', 'Wroclaw', 'Poznan']"
712,Humanitarian Aid,"['Volunteers', 'Transportation', 'Borders', 'Big cities']"
715,Information sharing,"['Distribution request', 'Verified information', 'Friend who is a lawyer in Lviv']"
716,unclear,
721,Help needed,['Immediate assistance']
722,Transportation,"['Driver', 'Car']"
724,Humanitarian emergency,"['Transportation assistance', 'Water scarcity']"
726,Humanitarian Trip Planning,"['Tent truck', '70m3, 13m', 'aid delivery', 'Ukrainian border', 'Szczecin', 'Gorzow Wielkopolski', 'Miedzyrzecz', 'Swiebodzin', 'Wolsztyn', 'Poznan', 'Konin', 'Lodz', 'Warsaw', 'Lublin', 'Rzeszow', 'Aid Stations', 'volunteers', 'Ukraine', 'needed items', 'delivery permissions', 'contact details']"
734,Border control and entry restrictions,Entry into Poland for men
748,Humanitarian support and information sharing in the context of the situation in Ukraine,"['Chats for assistance', 'Up-to-date information sharing']"
762,Housing,Apartment rental in Warsaw
766,Social media group,Facebook group
769,Financial difficulties and gratitude,"['Financial strain', 'Expression of gratitude']"
771,Financial difficulties and gratitude,"['Difficult situation', 'Gratitude', 'Financial support']"
774,Restrictions on Ukrainian citizens,"['Age restrictions (18 to 60)', 'Gender discrimination (only applies to men)']"
776,The text expresses gratitude towards people who provide help during a difficult situation and raises concerns about the transportation costs for receiving aid.,"Gratitude, Help, Difficult situation, Transportation costs"
778,Accommodation search,"['Accommodation', 'Girls', 'Grusheva border']"
785,Privacy and Information Security,Private Message
790,humanitarian assistance needs,['location of humanitarian assistance']
791,border,"border disputes, immigration, customs, geopolitics"
794,Uncertainty and Gratitude,"Financial assistance, Difficult situation, Gratitude"
800,Conflict/Confrontation,Administration and Actors
819,Uncertainty,Identification
823,Perception,"['Understanding', 'Interpretation', 'Comprehension']"
824,Gratitude,Thankfulness
834,Travel,"['Location: Budomezhe', 'Destination: Krakow', 'Number of people: 3-4']"
842,Animal travel regulations in Italy,"['dogs without documents', 'vaccination passport', 'antibody analysis', 'chip']"
845,travel and animal regulations,lack of document checks for animals in Poland
847,Travel and Immigration,"['Travel plans', 'International travel restrictions']"
848,Globalization,"['Borders', 'Missing out']"
849,lack of branch control,branch control
850,Uncertainty,['Checkpoints']
852,Lack of awareness or attention to checking beyond Poland in Europe,European countries
854,Freedom and flexibility,"['Go wherever', 'whenever you want']"
855,Uncertainty,Stopping and document security
856,Desire for affordable dogs,"['Preference for chihuahuas', 'Price of 600 euros']"
857,Travel and Immigration,Entry requirements to Poland
858,Inclusion,['Inclusive policies']
859,gender and refugee status,['women']
860,Lack of documentation and its implications,"['Documents', 'Absence of documents']"
861,Gender and parenting,"['women with children', 'women without children']"
862,Immigration policy,Ukrainians entering a country without proper documents
863,Nationality and documentation,['Ukrainian passport']
865,Border crossing requirements,Green card for car
866,Freedom,"['Letting go', 'Release']"
867,Information about Ukrainian numbers,"['Ukrainian language', 'Numerical system']"
870,Border control and immigration,Border crossing experiences
873,miscommunication,['conversation misunderstanding']
880,Declaration of displeasure towards manipulation and a refusal to be taken for granted,Manipulation by the USA
882,Protection and survival in times of conflict,"['Ukrainian women', 'children', 'elderly', 'men']"
884,general assessment,admin
886,Discontent and dissatisfaction,"['Removing someone', 'Lack of focus on primary task']"
893,The theme of the text is the challenging situation faced by a mother with two children in Odessa.,"['Help for mothers with children', 'Diapers and groceries assistance in Odessa']"
899,Job search,Work opportunities in Krakow
904,Appeal for help,Request for assistance
908,urgency,['situations that need immediate attention']
912,unclear intention or miscommunication,"['identity', 'gender']"
917,Travel plans,"['Lviv', 'Kyiv']"
918,Defiance and bravery in the face of adversity,"['Ukrainian defense', 'cowardice', 'Titanic reference']"
920,Humanitarian assistance,"['EMIC Foundation', 'Volunteer headquarters', 'Bydgoszcz', 'Free transfer', 'Temporary stay', 'Accommodation', 'Medical assistance', 'Psychological assistance', 'Legal assistance', 'Documentation legalization', 'Translation services', 'Assistance to children']"
922,Financial distress,"['Difficult situation', 'General thanks to people']"
923,Language translation,Banking translation
924,Transportation arrangements,"['Picking up someone from the station in Przemyśl', 'Contact number for arranging the pickup']"
928,Need for assistance,"Food, Single parenthood"
932,Confusion or frustration regarding the lack of clear assistance or support,Help and group creation
934,Lack of substance in discussions,Subscribers and discussions
936,unclear or insufficient text,
939,Lack of curiosity and indifference towards others,Interest in knowing others' destinations
940,Information reading,Reading
941,Disinformation,Evacuation
942,Brotherhood and Bonding,"['Traveling to Moscow', 'Being brothers']"
960,Emergency assistance and car trouble,"['Car breakdown', 'Border issue', 'Request for help', 'Mechanical repairs', 'Financial concern']"
965,Promotion and dissemination of a social media channel,"['Sharing channel link on social media', 'Using QR codes in social media stories', 'Distributing flyers with QR codes at the Ukraine border']"
979,Migration,"['Border crossing', 'Displacement', 'Refugees']"
994,Assessment of text: Housing assistance in Wroclaw,Finding accommodation in Wroclaw
997,Uncertainty,['Waiting at the border']
1013,Assistance with finding accommodation,"['Helping families in need', 'Wloclawek and surrounding areas']"
1022,Housing Assistance,"['Finding housing', 'Finding shelter']"
1029,patriotic sentiment,"['Ukraine', 'glory']"
1030,Humanitarian Assistance,"['Volunteers', 'Waiting at the border']"
1032,Border crossing,"['Alternative border option', 'Pick up at another border', 'Return of two things']"
1034,Accommodation search,"['accommodation', '4 adults', '5 children', 'Zamosc']"
1041,Travel,"['Poland', 'Spain']"
1042,Migration and Border Crossing,"['Border Crossing', 'Men Crossing Borders', 'Waiting in Line', 'Romania']"
1044,Housing assistance,"['Finding housing', 'Wroclaw']"
1046,Humanitarian Assistance,"['Border crossing', 'Transportation assistance', 'Family support']"
1047,Border crossing,"['Border', 'Destination']"
1056,Transportation and Assistance,"['Crossing borders', 'Travel', 'Airport assistance', 'Community help']"
1057,Migration,"['Crossing borders', 'Ukraine']"
1063,Humanitarian assistance,"['Accommodation', 'Medicine', 'Food', 'Availability']"
1064,Communication and instruction,Drivers and passengers
1066,unclear,[]
1068,International Dialing Codes,['Country Code for Ukraine']
1074,National Identity,Ukraine
1079,Telephone country code,+48 Poland
1090,Financial Assistance,"['Request for Money', 'Collection for a Trip']"
1091,Transportation,"['Empty cars', 'Waiting for people']"
1092,migration,"['residents of Israel', 'approach somewhere']"
1097,Humanitarian assistance,Purchasing goods for people at the border
1098,Conditions for cars and green cards in Hungary,"['conditions', 'cars', 'green cards', 'Hungary']"
1101,Requirement for green card in transportation,"['Mandatory green card', 'Restriction on cars without green card']"
1103,Request for assistance,Properly arranging and location for conducting the task
1106,uncertainty and decision-making,coming with her to a place
1109,negative emotions,"restriction, frustration"
1114,Humanitarian Assistance,"['Seeking Help', 'Migration']"
1121,Humanitarian Relief Efforts,"Volunteerism, Support for Refugees, Assistance"
1123,Border crossing and travel,"['Applying for entry', 'Crossing the border with Poland']"
1124,Humanitarian assistance and provision of basic needs,"['Free water', 'Food', 'Housing']"
1129,Humanitarian aid,Financial assistance
1133,Humanitarian support,Shared transportation for a woman with three children from Poznán to Spain
1139,Logistics and delivery,Delivery to Germany
1147,Humanitarian aid,"['Border crisis', 'Donations and purchasing goods', 'Volunteer transportation']"
1152,Transportation,['Getting from Lviv train station to the village of Borenja']
1153,Travel restrictions and requirements,"['Borders', 'Passport requirements', 'International travel']"
1155,Localization,Living in Poland
1158,Transportation,Travel plans
1160,time,today-tomorrow
1161,Apology,Apologizing
1165,Transportation request,"['Shegini', 'transport for 2 people', 'payment required']"
1170,Help-seeking,Request for assistance in traveling from Kiev to the Polish border
1177,Information request,Train schedule
1185,Desire for assistance,Request for help with leaving Izium
1187,Travel and Border Crossings,"['Crossing the border', 'Travel plans']"
1190,Travel,"['Border crossing', 'Germany', 'Przemysl', 'Korczowa', 'Dresden', 'Berlin', 'Cologne', 'Frankfurt', 'Freiburg']"
1196,uncertainty,knowledge or lack thereof
1201,uncertainty,"['travel', 'destination']"
1202,Transportation and Travel,"['Deutsche Bahn', 'German railways', 'Travel website']"
1203,Dispute or disagreement,Ukraine's perspective
1205,Transportation options near the Poland border,Trains to cities near the border
1206,Financial assistance and gratitude,"['Financial difficulties', 'Request for help', 'Gratitude']"
1208,Transportation,Ukrzaliznytsia
1213,Advantages and Disadvantages of Refugee Status in Poland,Information Sources on Refugee Status in Poland
1214,Youth and aspirations,"['Youth', 'Aspirations', 'Applying', '17 years old']"
1216,importance of information on traveling to Poland,travel logistics
1217,Transportation and Assistance,"['Border crossing', 'Transporting people']"
1220,Expression of gratitude and acknowledgement of a difficult situation,"Gratitude, Difficult situation"
1226,Unknown,[]
1228,Emotional distress,Border crossing
1229,Unclear,"Psheml, osuo, Warsaw"
1230,economic exploitation,"['speculators', 'earning from war']"
1232,economic burden,"['transportation cost', 'financial constraint', 'expensive travel']"
1233,uncertainty,['how to do it']
1234,Frustration and inconvenience,"['Payment and lack of facilities', 'Challenges with transportation and pets']"
1235,Horror,Horror
1245,Humanitarian support,"['Efforts of foundations', 'Sleeping accommodations and transportation']"
1246,refugee policies and entry regulations,refugees entering Germany through Poland
1249,Transportation,Buses
1263,Affirmation,Yes
1266,Uncertainty,"['Time', 'Physical activity', 'Geographical location']"
1268,Transportation and Booking,"['Booking tickets', 'Train schedules', 'Ticket prices']"
1269,reduction/shortage,decrease in quantity
1275,Location and travel,"['Dorokhutsk', 'Warsaw']"
1282,Transportation and Assistance,"['Border crossing', 'Transporting people', 'Shehyni', 'Payment', 'Assistance']"
1283,Legal implications of adoption,Release of a man who is an adopter
1284,unclear,
1285,uncertainty,['border situation in Grushevo']
1289,Lists,List creation and organization
1298,Travel,"['Poland', 'Spain']"
1306,Travel,"['Lviv', 'Poland']"
1309,humanitarian request,"['Donbass migrants', 'release man', 'advice']"
1310,uncertain/indeterminate,going
1311,positive,['good']
1312,Pricing or cost,Cost inquiry
1313,Currency,Russian Ruble
1315,Emotional distress and the need for assistance,Missing person
1318,Entertainment,TikTok video featuring a musical performance
1319,Negative sentiment,Delete request
1320,Humanitarian assistance for refugees,"['Accommodation', 'Transportation', 'Humanitarian aid']"
1333,urgent request,"['travel', 'private message', 'Lviv to Poland', 'waiting', 'return', 'two things']"
1334,Volunteer transportation across the border,"Volunteers from Lviv, cost of transportation"
1335,Financial constraints,['money']
1340,Need for Assistance,['Transportation']
1345,Urgent call to action,Transporting humanitarian aid
1355,Uncertainty,Border crossing
1361,Travel and Transportation,"['Station in Helm', 'Places to Warsaw']"
1363,Transportation and Efficiency,"['Travel distance and time', 'Comparison of transportation methods', 'Weather conditions']"
1366,Travel,"['Transportation', 'Routes', 'Locations']"
1377,Crossing the border,"['Passport change', 'Citizenship', 'Marriage', 'Russian Federation', 'Ukraine']"
1378,Assertiveness,"['Action', 'Direction']"
1384,Immigration and residency,Ukrainian child with a residence permit
1385,Release,[]
1391,Transportation,Leaving the city of Sumy
1396,Miscellaneous,Replying
1397,Deception,Fake
1399,Unknown,[]
1400,Request for assistance,Finding transportation from Sumy to Kiev
1401,Exploring Belarus,Belarus
1408,Employment,"['Job search', 'Unemployment']"
1412,Unclear,['Okok']
1413,Humanitarian crisis,Border crossing
1414,Border situation in Smilnytsya,Smilnytsya border
1419,Appreciation,Help and Communication
1420,Refugee situation in Poland,Refugees in Poland
1424,Humanitarian assistance,"Refugee accommodation in Suraz, Poland"
1450,International collaboration for supporting Ukraine,"['Sharing information', 'Polish groups', 'Help for Ukraine']"
1451,Travel and Transportation,Passing through a checkpoint without a car
1453,support,"['problem-solving', 'assistance']"
1458,Apology,Regret
1459,Removal,Unknown
1460,Negative sentiment towards pro-Russian content,Blocking pro-Russian content
1473,Transportation,"['Traveling from Poland to Ukraine', 'Destination: Zaporizhia']"
1482,Transportation inquiry,"['Travel', 'Logistics']"
1485,Cautionary/Warning,['Beware of deception']
1487,Opportunities and availability,"['Cross-border shopping', 'Access to goods']"
1488,negative sentiment,warning or caution regarding dishonest individuals
1492,Legal and ethical concerns,['Illegal activities']
1497,uncertainty,expression of surprise
1498,Illegal sale of registered cards,"['Help', 'Sale', 'Illegally registered cards', 'Higher price']"
1501,Support and assistance for refugees,"Information on city adaptation, volunteer support, employment, and language courses"
1507,government assistance,local government
1508,Humanitarian assistance and support in Warsaw,"['Hotlines for citizens of Ukraine', 'Information points', 'Warsaw communication for refugees', 'Psychological Support', 'Veterinary care']"
1510,Humanitarian support,"['Hotlines for Ukrainian citizens', 'Information points in Warsaw', 'Warsaw Communication for refugees', 'Psychological help', 'Veterinary help']"
1519,Language Learning,Russian language
1534,Offering assistance,['Proximity to Polish border']
1544,Travel and Accommodation,"['Renting a house', 'Location: Zosin']"
1547,border and migration,"['border control', 'immigration']"
1548,Community engagement,Facebook group for humanitarian support
1549,General inquiry,Situation assessment
1551,unclear or vague,None
1553,Financial Inquiry,['Cost estimation']
1556,Immigration/Border crossing,"['Time', 'Nationality', 'Restrictions', 'Migration']"
1567,Unclear/Unspecified,['Ukraine']
1574,Travel inquiry,"['Transportation', 'Locations']"
1579,Time,"['Time duration', 'Waiting']"
1582,Eliminating online harassment,['Troll behavior']
1596,Fear and concern regarding a shared video,Shared video from the Polish border
1604,Denial/falseness,['Truth']
1605,Positive sentiment,[]
1609,Provocation,Warning
1615,Deception and intimidation,Lies and intimidation
1619,Perception of deception,Russian misinformation
1621,Humanitarian assistance,"['Families in need of shelter', 'Women and children', 'Temporary accommodation', 'Crossing to Ugriniv']"
1622,Positive experience at the Polish border,"['Smiling at us', 'Calmly letting us through']"
1623,Inclusivity,"[""Ukraine's policy towards women and children""]"
1624,Sadness,"['Disbelief', 'Shared thoughts']"
1625,Interaction with animals,['Dogs']
1626,Rules and regulations for traveling with pets,"['Passport requirements for cats in Poland', 'Necessity of microchipping and vaccinations for traveling with a cat']"
1627,secrecy,"['communication', 'documents', 'dogs']"
1628,Unknown,"['chip', 'analysis']"
1629,Health and conspiracy theories,"['microchips', 'vaccinations']"
1630,Lack/absence,Possessions/ownership
1631,Lack or absence of something,"['Passing on something', 'Not having something']"
1638,The theme of the text is positive perception of stage image.,"['stage image', 'liking']"
1646,Financial hardship and gratitude,"['Financial struggle', 'Gratitude']"
1654,Inappropriate Language,Clicking
1656,Amusement,Slightly amused
1689,Migration and Transportation,"['Travel', 'Volunteers']"
1690,unclear,['There is']
1703,Discrediting false information,Spreading of misinformation
1704,Communication frustration,"['Transport arrangements', 'Disappearing dialogue']"
1714,Identity and documentation,Ukrainian passport
1715,Deleted correspondence in Telegram,[]
1716,uncertainty,emotional affirmation
1719,Restriction of movement across borders,Crossing the border
1720,Uncertainty and seeking information,"['truth', 'accurate information']"
1724,Fear and apprehension,['Scared']
1726,Deception,"Fake information, Misleading"
1729,Fear and concern about a specific issue,"['Admin action', 'Deletion', 'Scared']"
1731,Humanitarian Assistance,"['Refugee Support', 'Collaboration', 'Logistics']"
1732,Misinformation and critical thinking,"['Misleading information', 'Tracking information', 'Being focused', 'Not believing everything', 'Difficulty of the situation']"
1734,User engagement,Group size and user count
1737,invitation to a group,friends and acquaintances
1738,Negative and offensive language,Homophobic slur
1739,nationality and limited capacity for help,"['Poland', 'offering help']"
1740,Education and Future Plans,Deferment for University Studies
1741,Emphasis,Affirmation
1742,gratitude,expression of thanks
1743,Individuality,Diversity
1752,Gratitude,Thank you
1761,humanitarian assistance,"['war in Ukraine', 'difficult situation', 'gratitude for help']"
1769,Financial hardship,Request for money for a family member stuck in Kharkiv
1773,Clarity and Health,"Communication with others, Physical well-being"
1775,Call for help,['Assistance']
1776,international transportation,"['Poland', 'Germany', 'free train travel']"
1780,Transportation,"['Person Pick-up', 'From Pshemeshlya to Germany']"
1784,Business,DB Group
1787,Request for assistance,"['Transportation', 'Emergency']"
1788,greeting,evening
1789,Social Media Group,Facebook Community for Sharing
1791,Travel and Border Control,"['Location (Nuremberg)', 'Transportation (Buses)', 'The individuals bringing the author to Nuremberg)']"
1792,Communicating with others,['Writing']
1794,Humanitarian support for refugees in Germany,"['refugees', 'Germany']"
1810,Gratitude,Thank you
1816,uncertainty,location
1818,Logistics,"['Arrival of mom', 'Volunteers at train station']"
1821,Humanitarian assistance,"['Transportation', 'Crossing border', 'Krakowez', 'Grojec', 'Adults', 'Children']"
1823,Travel Accommodation,Rzeszów and Kraków
1824,Transportation,People transportation from Zhytomyr
1826,Travel and Transportation,"['Getting from Panfil to Lviv and then to the Polish border', 'Information about the train']"
1836,Emergency Transportation,Urgent Rescue
1838,Urgency and compassion,"['Transportation assistance', 'Humanitarian crisis']"
1839,Hospitality and Generosity,"['German Family', '6 month old baby', 'Farmhouse living', 'Offering space', 'Prepared for baby', 'Food and clothes available', 'Offering pick-up service', 'Welcoming guests from outside Germany']"
1842,Questions about rules and conditions for refugees in Poland,"['rules for refugees', 'conditions of stay', 'amount of allowance', 'maternity leave', 'rental cost', 'salary range', 'leaving the country after being granted refugee status']"
1844,Appreciation,Translation
1845,Expressing gratitude,Thank you
1847,Humanitarian Assistance,['Accommodation for Elderly Woman in Hrubieszów']
1850,Urgent request for help,Travel assistance from Dnipro to Polish border
1851,Humanitarian assistance,"['Food insecurity', 'Parenting during crisis']"
1852,Accommodation,Free accommodation for 40 people
1858,Emergency accommodation,"['Women', 'Children', 'Place to stay']"
1861,Assistance fund for the military,Manufacturing and providing medical kits for the Ukrainian military
1876,Uncertain inquiry,Mariupol sign
1880,negativity/frustration,"['identity', 'geography']"
1883,Familiarity with the city,knowledge of the city
1890,neutral,"['greeting', 'time']"
1893,Unclear or lacking in information,
1894,Travel,"['Krakow', 'Wroclaw', 'Legnica']"
1895,Concerns and considerations regarding personal identification and safety,"['Similarity of name and surname', 'Sending photos without passport', 'Sending video with passport and child', 'Money not being a problem', 'Question of destination']"
1901,pride and admiration,"['courage', 'resilience', 'spirit']"
1904,Transportation,"['Drivers', 'Medyka']"
1905,Urgency and Concern,"['Safety of the Ukrainian President', 'Potential dangers posed by a setup or assassination plot']"
1906,Uncategorized,[]
1907,Hinting at an undisclosed issue,"['TV hints', 'Russian context']"
1909,Frustration,Asking for clarification
1914,Discrediting statements and mistrust,"['Government representatives', 'Limited access to information']"
1916,sarcasm,"['provocateur', 'chat']"
1917,Language and National Identity,National Anthem and Television
1919,truth,whole truth
1920,Inquiry about refugee status and entitlements in Poland,Duration and implications of 'refugee' status in Poland
1921,Defensiveness,Provocateur
1922,Understanding and managing risks,"['Risk assessment', 'Calmness']"
1923,Transportation services,Taxi services in Ukraine
1924,Worried,Emotion
1935,Dismissiveness,Rest
1938,caution,avoiding clicking on links
1942,General,Greeting
1945,work organization,help request
1951,Intolerance and Political Divisions,"['Friendship between Poles and Ukrainians', 'Disapproval of Banderaism and UPA']"
1954,Myth debunking,['Bandera supporters']
1957,Evaluation of Ukrainian identity,Ukrainian nationalism and its association with Nazism
1962,Hospitality and accommodation,"['Accommodating a mother with a child', ""Children's room and bedroom"", 'Free accommodation', 'House with a garden', 'Children aged 3 and 7', 'Location: Furt, Bavaria']"
1963,Time perspective,"['80 years ago', 'still many of them']"
1967,Existence/Non-existence,"['Russia', '50 million']"
1970,Transportation,"['Travel', 'Location']"
1992,Unity and solidarity in the face of war,"['Volunteer organizations', 'Support for soldiers, mothers, and children at the border', 'Nationalism and its role in the war']"
1995,humanitarian assistance,accommodation for an elderly woman
2002,Assistance and category classification,"['assistance', 'driver', 'category B']"
